tokens,tags,polarities
"('The', 'wine', 'list', 'is', '""nt""', 'great', ',', 'and', 'the', 'desserts', 'are', 'shipped', 'in', 'from', 'Bruno', '""s""', 'down', 'the', 'street', ',', 'which', 'is', 'not', 'as', 'good', 'as', 'it', 'used', 'to', 'be', '.')","('0', '1', '2', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '0', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('You', 'must', 'have', 'the', 'crabmeat', 'lasagna', 'which', 'is', 'out', 'of', 'this', 'world', 'and', 'the', 'chocolate', 'bread', 'pudding', 'for', 'dessert', '.')","('0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '2', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1')"
"('The', 'man', 'that', 'was', 'hosting', 'promised', 'to', 'save', 'a', 'table', 'for', 'our', 'party', 'of', '7', ',', 'then', 'sat', 'a', 'party', 'of', '2', 'at', 'the', 'very', 'table', 'he', 'was', 'saving', '-LRB-', 'mean', 'while', 'there', 'were', 'boths', 'open', 'all', 'around', '-RRB-', '.')","('0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'seats', 'are', 'uncomfortable', 'if', 'you', 'are', 'sitting', 'against', 'the', 'wall', 'on', 'wooden', 'benches', '.')","('0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'sangria', 'was', 'pretty', 'tasty', 'and', 'good', 'on', 'a', 'hot', 'muggy', 'day', '.')","('0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'food', ',', 'drinks', 'and', 'service', 'are', 'clearly', 'among', 'the', 'best', 'in', 'the', 'city', '.')","('0', '1', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Service', 'could', 'be', 'improved', 'but', 'overall', 'this', 'is', 'a', 'place', 'that', 'understands', 'the', 'importance', 'of', 'little', 'things', '-LRB-', 'the', 'heavy', ',', 'black', ',', 'antique-seeming', 'teapot', ',', 'for', 'one', '-RRB-', 'in', 'the', 'restaurant', 'experience', '.')","('1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('This', 'is', 'definitely', 'an', 'excellent', 'date', 'spot', 'because', 'of', 'the', 'ambiance', 'and', 'on', 'the', 'weekends', 'the', 'night', 'scene', 'is', 'more', 'than', 'alive', '.')","('0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'combination', 'of', 'fresh', 'tomato', 'sauce', ',', 'fresh', 'mozz', 'cheese', ',', 'basil', 'and', 'the', 'dough', 'they', 'make', 'with', 'imported', 'flour', ',', 'makes', 'this', 'is', 'one', 'of', 'the', 'better', 'pizza', '""s""', 'in', 'NY', '.')","('0', '0', '0', '1', '2', '2', '0', '1', '2', '2', '0', '1', '0', '0', '1', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Some', 'of', 'the', 'workers', 'ignore', 'me', 'and', 'talk', 'to', 'the', 'female', 'customers', ',', 'other', 'times', ',', 'they', '""ve""', 'skipped', 'my', 'order', '.')","('0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'signs', ',', 'the', 'specials', 'menus', ',', 'food', ',', 'and', 'even', 'all', 'the', 'waitstaff', 'are', 'ALL', 'TOTALLY', 'Japanese', '.')","('0', '1', '0', '0', '1', '2', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1')"
"('sometimes', 'i', 'get', 'bad', 'food', 'and', 'bad', 'service', ',', 'sometimes', 'i', 'get', 'good', 'good', 'and', 'bad', 'service', '.')","('0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('It', 'took', 'them', '25', 'minutes', 'to', 'bring', 'our', 'appetizer', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '-1')"
"('The', 'portions', 'are', 'now', 'very', 'small', ',', 'the', 'sauces', 'are', 'overly-ambitious', 'usually', 'inedible', 'while', 'the', 'service', 'is', 'still', 'good', ',', 'the', 'restaurant', ',', 'due', 'to', 'its', 'popularity', ',', 'seems', 'frantic', '.')","('0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('I', 'particularly', 'love', 'their', 'yellowfun', 'tuna', 'and', 'their', 'mussel', 'selection', '.')","('0', '0', '0', '0', '1', '2', '0', '0', '1', '2', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '2', '-1')"
"('Food', 'was', 'average', 'and', 'creme', 'brulee', 'was', 'awful', '-', 'the', 'sugar', 'was', 'charred', ',', 'not', 'caramelized', 'and', 'smelled', 'of', 'kerosene', '.')","('1', '0', '0', '0', '1', '2', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Their', 'whitefish', 'salad', 'is', 'excellent', '--', 'all', 'whitefish', 'with', 'a', 'little', 'mayo', '.')","('0', '1', '2', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1')"
"('Not', 'enough', 'wines', 'by', 'the', 'glass', 'either', '.')","('0', '0', '1', '2', '2', '2', '0', '0')","('-1', '-1', '0', '0', '0', '0', '-1', '-1')"
"('Ambience', 'is', 'delightful', ',', 'service', 'impeccable', '.')","('1', '0', '0', '0', '1', '0', '0')","('-1', '-1', '-1', '-1', '2', '-1', '-1')"
"('The', 'food', ',', 'served', 'in', 'small', 'tasting', 'portions', '-LRB-', 'as', 'an', 'option', '-RRB-', 'is', 'very', 'good', 'with', 'each', 'dish', 'being', 'better', 'than', 'the', 'next', '.')","('0', '1', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Service', 'is', 'highly', 'refined', ':', 'our', 'seating', 'was', 'delayed', '35', 'minutes', 'past', 'our', 'reservation', 'and', 'the', 'maitre', '""d""', 'apologized', 'and', 'regularly', 'kept', 'us', 'apprised', 'of', 'progress', '.')","('1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('I', 'have', 'been', 'about', '4', 'times', 'and', 'have', 'always', 'had', 'a', 'great', 'meal', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1')"
"('The', 'menu', 'changed', ',', 'portions', 'were', 'even', 'smaller', 'than', 'before', ',', 'a', 'lentil', 'dish', 'was', 'salty', 'beyond', 'edibility', ',', 'a', 'basmati', 'rice', 'dish', 'lacked', 'flavor', '.')","('0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '1', '2', '2', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '0', '0', '-1', '-1', '-1')"
"('The', 'highlight', 'of', 'the', 'night', 'was', 'the', 'mayonaisse', 'for', 'my', 'side', 'of', 'fries', 'I', 'received', 'from', 'one', 'of', 'the', 'food', 'runners', ',', 'which', 'is', 'not', 'good', 'considering', 'the', 'bill', 'was', 'nearly', '$', '100', '.')","('0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'waitresses', 'are', 'nice', '--', 'also', 'you', 'can', 'just', 'get', 'counter', 'service', 'sit', '.')","('0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0')","('-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('I', 'did', '""nt""', 'expect', 'to', 'like', 'Nosh', 'as', 'much', 'as', 'I', 'did', ',', 'but', 'the', 'pastrami', 'on', 'challah', 'sandwich', 'I', 'had', 'was', 'otherworldly', ',', 'the', 'soups', 'are', 'like', 'Mom', '""s""', ',', 'and', 'the', 'knishes', 'give', 'Yonah', 'Schimmel', '""s""', 'a', 'run', 'for', 'its', 'money', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '2', '2', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '2', '2', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'spicy', 'tuna', 'and', 'salmon', 'are', 'the', 'best', 'we', '""ve""', 'ever', 'had', '.')","('0', '1', '2', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '2', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Nothing', 'better', 'than', 'buying', 'a', 'snapple', 'for', '$', '3.25', 'too', '.')","('0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1')"
"('The', 'have', 'over', '100', 'different', 'beers', 'to', 'offer', 'thier', 'guest', 'so', 'that', 'made', 'my', 'husband', 'very', 'happy', 'and', 'the', 'food', 'was', 'delicious', ',', 'if', 'I', 'must', 'recommend', 'a', 'dish', 'it', 'must', 'be', 'the', 'pumkin', 'tortelini', '.')","('0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '2', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('From', 'the', 'entrees', 'to', 'the', 'sides', 'to', 'the', 'drinks', ',', 'everything', 'was', 'creatively', 'prepared', 'yet', 'still', 'simple', '.')","('0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Ask', 'for', 'Usha', ',', 'the', 'nicest', 'bartender', 'in', 'manhattan', '.')","('0', '0', '0', '0', '0', '0', '1', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1')"
"('The', 'food', 'always', 'tastes', 'fresh', 'and', 'served', 'promptly', '.')","('0', '1', '0', '0', '0', '0', '1', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1')"
"('I', 'would', 'highly', 'recommend', 'Nina', '""s""', 'to', 'anyone', 'who', 'wants', 'to', 'have', 'a', 'romantic', 'dinner', 'in', 'a', 'heart', 'warming', 'surrounding', 'filled', 'with', 'candles', 'and', 'family', 'pictures', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('This', 'restaurant', 'used', 'to', 'be', 'our', 'regular', 'Thursday', 'night', 'dinner', 'location', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '1', '-1')"
"('It', 'is', 'nearly', 'impossible', 'to', 'get', 'a', 'table', ',', 'so', 'if', 'you', 'ever', 'have', 'the', 'chance', 'to', 'go', 'here', 'for', 'dinner', ',', 'DO', 'NOT', 'pass', 'it', 'up', '.')","('0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Service', 'was', 'warm', 'and', 'attentive', ',', 'beef', 'carpaachio', 'was', 'exellent', '-LRB-', 'huge', 'portion', '-RRB-', 'and', 'pasta', 'was', 'fresh', 'and', 'well-prepared', '.')","('1', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'place', 'is', 'small', 'and', 'intimate', 'and', 'you', 'may', 'feel', 'a', 'little', 'crowded', ',', 'but', 'the', 'service', 'is', 'excellent', 'and', 'it', '""s""', 'great', 'for', 'friends', 'out', ',', 'a', 'romantic', 'date', ',', 'or', 'a', 'special', 'occassion', '.')","('0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'food', 'was', 'so-so', '.')","('0', '1', '0', '0', '0')","('-1', '1', '-1', '-1', '-1')"
"('The', 'waitresses', 'are', 'nice', '--', 'also', 'you', 'can', 'just', 'get', 'counter', 'service', 'sit', '.')","('0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '2', '-1', '-1')"
"('I', 'had', 'the', 'mango', 'chicken', 'and', 'i', 'ca', '""nt""', 'go', 'on', 'to', 'tell', 'you', 'how', 'delicious', 'that', 'was', 'and', 'the', 'presentation', 'was', 'beatiful', '.')","('0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1')"
"('Ive', 'asked', 'a', 'cart', 'attendant', 'for', 'a', 'lotus', 'leaf', 'wrapped', 'rice', 'and', 'she', 'replied', 'back', 'rice', 'and', 'just', 'walked', 'away', '.')","('0', '0', '0', '1', '2', '0', '0', '1', '2', '2', '2', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '1', '1', '1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Great', 'food', ',', 'great', 'decor', ',', 'great', 'service', '.')","('0', '1', '0', '0', '1', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1')"
"('my', 'picks', 'are', ':', '-', 'Scallion', 'Pancake', '-LRB-', 'fried', 'with', 'vegetable', 'juice', ',', 'very', 'special', 'and', 'tasty', '-RRB-', '-', 'Guizhou', 'Chicken', '-', 'Shredded', 'Squid', 'Family', 'Style', '-LRB-', 'one', 'of', 'my', 'personal', 'favorites', '-RRB-', '-', 'Sichuan', 'Spicy', 'Soft', 'Shell', 'Crab', '-', 'Shuizhu', 'Fish', '-LRB-', 'this', 'one', 'is', 'for', 'hardcore', 'Sichuan', 'food', 'fans', ',', 'I', 'would', '""nt""', 'recommend', 'to', 'my', 'American', 'friends', 'as', 'it', '""s""', 'very', 'spicy', '.')","('0', '0', '0', '0', '0', '1', '2', '0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '1', '2', '2', '2', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '2', '2', '2', '0', '1', '2', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Note', 'that', 'they', 'do', 'not', 'serve', 'beer', ',', 'you', 'must', 'bring', 'your', 'own', '.')","('0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('I', '""d""', 'highly', 'recommend', 'it', 'for', 'a', 'special', 'occasion', '--', 'it', 'provides', 'and', 'intimate', 'setting', 'and', 'nice', 'service', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1')"
"('The', 'filet', 'mignon', 'dish', 'was', 'superb', '!')","('0', '1', '2', '2', '0', '0', '0')","('-1', '2', '2', '2', '-1', '-1', '-1')"
"('I', 'highly', 'recommend', 'visiting', 'this', 'restaurant', 'and', 'having', 'dinner', 'and', 'drinks', '!')","('0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1')"
"('Plus', ',', 'on', 'Wednesday', 'nights', 'the', 'house', 'wine', 'is', 'unlimited', '!')","('0', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '2', '2', '-1', '-1', '-1')"
"('Do', '""nt""', 'waste', 'money', 'on', 'decor', '.')","('0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '1', '-1')"
"('Fabulous', 'service', ',', 'fantastic', 'food', ',', 'and', 'a', 'chilled', 'out', 'atmosphere', 'and', 'environment', '.')","('0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1')"
"('Scalina', 'Fedeli', 'reminded', 'me', 'why', 'service', 'is', 'so', 'integral', 'to', 'fine', 'dining', '.')","('0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1')"
"('They', 'might', 'be', 'all', 'business', 'at', 'the', 'counter', 'when', 'you', 'give', 'your', 'order', ',', 'but', 'their', 'food', 'says', 'I', 'love', 'you', '.')","('0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1')"
"('The', 'one', 'vegetarian', 'entree', '-LRB-', '""Abbys""', 'treasure', '-RRB-', 'was', 'actually', 'quite', 'a', 'surprise', '-', 'it', 'was', 'delicious', 'and', 'had', 'wintermelon', 'covering', 'an', 'assortment', 'of', 'fresh', 'mushrooms', 'and', 'vegetables', '.')","('0', '0', '1', '2', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '2', '2', '2', '2', '2', '0')","('-1', '-1', '2', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'chicken', 'parm', 'was', 'edible', 'but', 'had', 'canned', 'tomato', 'sauce', 'and', 'boxed', 'pasta', 'and', 'the', 'chicken', 'with', 'portobello', 'mushrooms', 'consisted', 'of', 'dry', ',', 'inedible', 'chicken', 'with', 'terrible', 'sauce', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0', '1', '0', '0', '1', '2', '2', '2', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('i', 'would', 'recommend', 'reservations', 'on', 'weekends', 'though', '.')","('0', '0', '0', '1', '0', '0', '0', '0')","('-1', '-1', '-1', '1', '-1', '-1', '-1', '-1')"
"('From', 'the', 'appetizers', 'we', 'ate', ',', 'the', 'dim', 'sum', 'and', 'other', 'variety', 'of', 'foods', ',', 'it', 'was', 'impossible', 'to', 'criticize', 'the', 'food', '.')","('0', '0', '1', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'only', 'weird', 'thing', 'was', 'if', 'we', 'got', 'a', 'bottle', ',', 'the', 'waitress', 'would', 'have', 'simply', 'multiplied', 'the', 'glass', 'price', 'X4', ',', 'which', 'makes', 'no', 'sense', 'whatsoever', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('I', 'choose', 'to', 'go', 'with', 'one', 'of', 'the', 'special', ',', 'the', 'braised', 'lamb', 'shank', 'in', 'red', 'wine', ',', 'which', 'was', 'excellent', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '2', '2', '2', '2', '2', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '2', '2', '2', '2', '2', '-1', '-1', '-1', '-1', '-1')"
"('The', 'service', 'was', 'excellent', '-', 'friendly', 'and', 'attentive', '.')","('0', '1', '0', '0', '0', '0', '0', '0', '0')","('-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
